timestamp,gpu0_used_mb,gpu1_used_mb,gpu2_used_mb,gpu3_used_mb,gpu4_used_mb,gpu5_used_mb
2026-05-25 04:42:20,34527,19536,19536,19536,19536,19440
2026-05-25 04:42:30,34527,31760,31760,31760,19536,19440
2026-05-25 04:42:40,50507,52220,54200,54322,52222,54926
2026-05-25 04:42:50,73007,80682,80682,80682,80682,80566
2026-05-25 04:43:00,62267,65762,62602,64242,63462,63446
2026-05-25 04:43:10,72547,80122,80122,80122,80122,80106
2026-05-25 04:43:21,73987,76062,76722,75842,76062,75786
2026-05-25 04:43:31,68605,80082,80082,80082,80082,79966
2026-05-25 04:43:41,73007,80282,80282,80282,80282,80266
2026-05-25 04:43:51,45927,44160,44160,44162,44162,44006
2026-05-25 04:44:01,73007,80382,80382,80382,80382,80186
2026-05-25 04:44:11,41605,34798,34798,34800,34800,34624
2026-05-25 04:44:21,73007,80242,80242,80242,80242,80266
2026-05-25 04:44:31,49367,53742,51682,51562,50722,52006
2026-05-25 04:44:41,70167,68360,70720,68362,75482,68246
2026-05-25 04:44:51,73007,80242,80242,80242,80242,80126
2026-05-25 04:45:01,50247,47800,49040,47802,49242,49186
2026-05-25 04:45:11,73007,80382,80382,80382,80382,80126
2026-05-25 04:45:21,46107,44180,44180,44182,44182,44026
2026-05-25 04:45:31,73007,80242,80242,80242,80242,80126
2026-05-25 04:45:41,54267,55482,54942,53062,54402,53986
2026-05-25 04:45:52,73007,80382,80382,80382,80382,80126
2026-05-25 04:46:02,66027,65322,66542,67362,67942,67606
2026-05-25 04:46:12,68605,80082,80082,80082,80082,79966
2026-05-25 04:46:22,35961,32874,32874,32874,32874,33098
2026-05-25 04:46:32,65865,64198,64198,64198,64198,64382
2026-05-25 04:46:42,65865,64198,64198,64198,64198,64382
2026-05-25 04:46:52,65865,64198,64218,64218,64218,64382
2026-05-25 04:47:02,65865,64198,64218,64218,64218,64382
2026-05-25 04:47:12,65865,64198,64218,64218,64218,64382
2026-05-25 04:47:22,65865,64198,64218,64218,64218,64382
2026-05-25 04:47:32,65865,64198,64218,64218,64218,64382
2026-05-25 04:47:42,65865,64198,64218,64218,64218,64382
2026-05-25 04:47:52,65865,64198,64218,64218,64218,64382
2026-05-25 04:48:03,65865,64198,64218,64218,64218,64382
2026-05-25 04:48:13,65865,64198,64218,64218,64218,64382
2026-05-25 04:48:23,38981,36054,36054,36054,36054,36058
2026-05-25 04:48:33,66221,63274,63276,63274,63274,63300
2026-05-25 04:48:43,66223,63276,63276,63276,63276,63300
2026-05-25 04:48:53,66223,63276,63276,63276,63276,63300
2026-05-25 04:49:03,22401,19554,19554,19554,19554,19438
2026-05-25 04:49:13,35461,32634,19554,19554,19554,19438
2026-05-25 04:49:23,35461,32634,32634,32634,21174,19438
2026-05-25 04:49:33,43061,79714,79714,79714,79714,79680
2026-05-25 04:49:43,54981,36594,34294,37536,36116,33120
2026-05-25 04:49:53,55301,47154,45754,45696,45276,47240
2026-05-25 04:50:04,43541,76976,76916,76976,76916,76960
2026-05-25 04:50:14,45621,76976,76916,76976,76916,76960
2026-05-25 04:50:24,55141,54996,52816,51756,52476,52000
2026-05-25 04:50:34,55261,45194,45194,45196,45196,45140
2026-05-25 04:50:44,42801,76976,76976,76976,76976,76900
2026-05-25 04:50:54,45161,76916,76916,76976,76976,76960
2026-05-25 04:51:04,45621,76916,76976,76976,76916,76900
2026-05-25 04:51:14,55141,55676,54976,56436,53616,52280
2026-05-25 04:51:24,62321,52594,55594,52376,53276,52780
2026-05-25 04:51:34,41001,76976,76916,76916,76916,76960
2026-05-25 04:51:44,45621,76976,76976,76916,76916,76960
2026-05-25 04:51:55,55141,71496,71516,71436,70816,71220
2026-05-25 04:52:05,55141,39334,39334,39336,39336,39280
2026-05-25 04:52:15,67001,80816,80814,80816,80316,80760
2026-05-25 04:52:25,45621,76916,76916,76976,76916,76900
2026-05-25 04:52:35,45621,76976,76976,76916,76976,76900
2026-05-25 04:52:45,55261,43574,43554,43576,43576,43660
2026-05-25 04:52:55,72581,67076,70596,68776,71536,70920
2026-05-25 04:53:05,45621,76976,76916,76916,76916,76960
2026-05-25 04:53:15,45621,76916,76976,76976,76976,76960
2026-05-25 04:53:26,55141,39376,43796,43516,40416,43800
2026-05-25 04:53:36,67921,61274,60034,60876,61276,57600
2026-05-25 04:53:46,44701,76976,76916,76976,76976,76960
2026-05-25 04:53:56,35981,32854,32854,32854,32854,32798
2026-05-25 04:54:06,65705,64198,64298,64198,64198,64242
2026-05-25 04:54:16,65705,64198,64298,64198,64198,64242
2026-05-25 04:54:26,65705,64198,64298,64198,64198,64242
2026-05-25 04:54:36,65705,64198,64298,64198,64198,64242
2026-05-25 04:54:46,65705,64198,64298,64198,64198,64242
2026-05-25 04:54:56,65705,64198,64298,64198,64198,64242
2026-05-25 04:55:06,65705,64198,64298,64198,64198,64242
2026-05-25 04:55:16,65705,64198,64298,64198,64198,64242
2026-05-25 04:55:26,65705,64198,64298,64198,64198,64242
2026-05-25 04:55:36,65705,64198,64298,64198,64198,64242
2026-05-25 04:55:46,65705,64198,64298,64198,64198,64242
2026-05-25 04:55:56,65705,64198,64298,64198,64198,64242
2026-05-25 04:56:06,65705,64198,64298,64198,64198,64242
2026-05-25 04:56:16,65705,64198,64298,64198,64198,64242
2026-05-25 04:56:27,65705,64198,64298,64198,64198,64242
2026-05-25 04:56:37,65705,64198,64298,64198,64198,64242
2026-05-25 04:56:47,65705,64198,64298,64198,64198,64242
2026-05-25 04:56:57,65705,64198,64298,64198,64198,64242
2026-05-25 04:57:07,65705,64198,64298,64198,64198,64242
2026-05-25 04:57:17,65705,64198,64298,64198,64198,64242
2026-05-25 04:57:27,65705,64198,64298,64198,64198,64242
2026-05-25 04:57:37,65705,64198,64298,64198,64198,64242
2026-05-25 04:57:47,65705,64198,64298,64198,64198,64242
2026-05-25 04:57:57,65705,64198,64298,64198,64198,64242
2026-05-25 04:58:07,65705,64198,64298,64198,64198,64242
2026-05-25 04:58:17,65705,64198,64298,64198,64198,64242
2026-05-25 04:58:27,65705,64198,64298,64198,64198,64242
2026-05-25 04:58:38,65705,64198,64298,64198,64198,64242
2026-05-25 04:58:48,65705,64198,64298,64198,64198,64242
2026-05-25 04:58:58,65705,64198,64298,64198,64198,64242
2026-05-25 04:59:08,65705,64198,64298,64198,64198,64242
2026-05-25 04:59:18,65705,64198,64298,64198,64198,64242
2026-05-25 04:59:28,50025,52058,55998,54138,56918,56002
2026-05-25 04:59:38,60341,57474,57474,57474,57474,57418
2026-05-25 04:59:48,60343,57476,57476,57474,57476,57420
2026-05-25 04:59:58,60343,57476,57476,57476,57476,57420
2026-05-25 05:00:08,25025,19516,19516,19516,19516,19420
2026-05-25 05:00:18,34487,31720,31720,31720,19516,19420
2026-05-25 05:00:28,76047,73220,73220,73220,73220,73124
2026-05-25 05:00:38,78447,67940,67940,70300,67940,67126
2026-05-25 05:00:49,72767,79902,79902,79902,79902,80226
2026-05-25 05:00:59,62227,61820,58500,60480,59360,61226
2026-05-25 05:01:09,72767,80002,80002,80002,80002,79826
2026-05-25 05:01:19,45727,44080,44080,44080,44080,44026
2026-05-25 05:01:29,72767,79902,79902,79902,79902,79826
2026-05-25 05:01:39,45667,44080,44080,44080,44080,43986
2026-05-25 05:01:49,72767,79982,79982,79982,79982,79926
2026-05-25 05:01:59,42345,38858,43018,38858,38858,43664
2026-05-25 05:02:09,72767,79902,79902,79902,79902,79826
2026-05-25 05:02:19,59027,63322,62182,62162,64402,63206
2026-05-25 05:02:30,72767,79982,79982,79982,79982,79926
2026-05-25 05:02:40,60827,63202,61982,61722,63662,60766
2026-05-25 05:02:50,69425,79742,79742,79742,79742,79666
2026-05-25 05:03:00,68987,69922,71222,69382,69742,70046
2026-05-25 05:03:10,72307,79822,79822,79822,79822,79766
2026-05-25 05:03:20,79307,76202,75802,74582,74242,75226
2026-05-25 05:03:31,65207,63220,63220,63220,63220,63146
